Antibody Code,Antibody Name,Target Name,Pan or P-Site,Antibody Type,Target Full Name,Target Uniprot ID,Target Refseq ID
PN114,,4E-BP1,T45,,Eukaryotic translation initiation factor 4E binding protein 1 (PHAS1),Q13541,NP_004086
PN115,,ATF2,S112,,Activating transcription factor 2 (CRE-BP1),P15336,NP_001871 
PN116,,BRCA1,S1423,,Breast cancer type 1 susceptibility protein,P38398,NP_009225
PN117,IRS1-S312,IRS1,S312,Rabbit polyclonal,Insulin receptor substrate 1,P35568,NP_005535
PN118,IRS1-S639,IRS1,S639,Rabbit polyclonal,Insulin receptor substrate 1,P35568,NP_005535
PN119,STAT5A-S780,STAT5A,S780,Rabbit polyclonal,Signal transducer and activator of transcription 5A,P42229,NP_003143
PN120,Tau-T181,Tau,T181,Rabbit polyclonal,Microtubule-associated protein tau,P10636,NP_005901  
PN121,,Tau,T522,,Microtubule-associated protein tau,P10636,NP_005901  
PN122,,Tau,T548,,Microtubule-associated protein tau,P10636,NP_005901  
PN122-2,Tau-T231,Tau,T231,Mouse monoclonal,Microtubule-associated protein tau,P10636,NP_005901  
PN122-3,Tau-T231,Tau,T231,Rabbit polyclonal,Microtubule-associated protein tau,P10636,NP_005901  
PN123,,ATF2,T69 + T71,,,P15336,
PN124,,SHC,Y239,,,P29353,
PN125,SMC1-S957,SMC1,S957,Rabbit polyclonal,Structural maintenance of chromosomes protein 1A,Q14683,NP_006297.2.
PN127,,PI3K p85/p55,Y467/Y199,,Phosphatidylinositol 3-kinase regulatory subunit alpha,P27986,NP_852664
PN128,4E-BP1-T70,4E-BP1,T70,Rabbit polyclonal,Eukaryotic translation initiation factor 4E binding protein 1 (PHAS1),Q13541,NP_004086
PN130,c-Myc-T58/S62,c-Myc,T58/S62,Rabbit polyclonal,Myc proto-oncogene protein,P01106,NP_002458.2
PN131,Rb-S795,Rb,S795,Rabbit polyclonal,Retinoblastoma-associated protein 1,P06400,NP_000312 
PN131-1,,Rb,S795,,Retinoblastoma-associated protein 1,P06400,NP_000312 
PN133,,Arrestin b,S412,,Arrestin beta 1,P49407,NP_004032
PN143,,PLC R(PLCg2),Y753,,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",P16885,NP_002652.2
PN144,PLCg1-Y783,PLCg1,Y783,Rabbit polyclonal,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1",P19174,NP_877963.1
PN145-PN032,,FKHRL1,T32,,Forkhead-like transcription factor 1 (FOXO3A),O43524,NP_001446
PN145-PN032-PN153,,FKHRL1,T32,,Forkhead-like transcription factor 1 (FOXO3A),O43524,NP_001446
PN146,,FRS2,Y348,,Fibroblast growth factor receptor substrate 2,Q8WU20,NP_001036020.1
PN147,,Caveolin 1,Y14,,Caveolin 1,Q03135,NP_001744.2
PN148,,Connexin 43,S368,,Gap junction alpha-1 protein,P17302,NP_000156.1
PN149,,Elk-1,S383,,ETS domain-containing protein Elk-1,P19419,NP_001107595.1
PN151,,RelB,S573,,Transcription factor RelB,Q01201,NP_006500.2
PN154,,Jun,S243,,Jun proto-oncogene-encoded AP1 transcription factor,P05412,NP_002219
PN155,,Jun,Y170,,Jun proto-oncogene-encoded AP1 transcription factor,P05412,NP_002219
PN156,,NFkappaB p65,S529,,NF-kappa-B p65 nuclear transcription factor,Q04206,NP_003989
PN157,,NFkappaB p65,S536,,NF-kappa-B p65 nuclear transcription factor,Q04206,NP_003989
PN158,,p53,S33,,Tumor suppressor protein p53 (antigenNY-CO-13),P04637,NP_000537
PN159,,p53,S37,,Tumor suppressor protein p53 (antigenNY-CO-13),P04637,NP_000537
PN160,,p53,S6,,Tumor suppressor protein p53 (antigenNY-CO-13),P04637,NP_000537
PN161,,Shc1,Y349,,SH2 domain-containing transforming protein 1,P29353,NP_003020
PN162,,Catenin a,S641,,Catenin (cadherin-associated protein) alpha,P35221,NP_001894.2
PN163,,Jun,T91,,Jun proto-oncogene-encoded AP1 transcription factor,P05412,NP_002219
PN164,,IkBa,Y42,,Inhibitor of NF-kappa-B alpha (MAD3),P25963,NP_065390
PN165,,PLCg1,Y771,,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-1",P19174,NP_877963.1
PN166,,Catenin b,S33,,Catenin (cadherin-associated protein) beta 1,P35222,NP_001895
PN167,,Catenin b,Y333,,Catenin (cadherin-associated protein) beta 1,P35222,NP_001895
PN168,,IkBe,S161,,NF-kappa-B inhibitor epsilon,O00221,NP_004547.2
PN169,,MDM2,S166,,double minute 2,Q00987,NP_002383.2
PN170,,Elk-1,S389,,ETS domain-containing protein Elk-1,P19419,NP_001107595.1
PN171,,Cbl,Y700,,Signal transduction protein CBL,P22681,NP_005179.2
PN172,,eIF4B,S422,,Eukaryotic translation initiation factor 4B,P23588,NP_001408.2
PN173,,EFNB2,Y316,,EPH-related receptor tyrosine kinase ligand 5,P52799,NP_004084.1
PN174,,EZR,T567,,Ezrin; Cytovilin,P15311,NP_001104547.1
PN175,,EZR,Y354,,Ezrin; Cytovilin,P15311,NP_001104547.1
PN176,,Hsp90b,S255,,Heat shock 90 kDa protein beta,P08238,NP_031381
PN177,,SNCA,Y136,,Alpha-synuclein,P37840,NP_000336.1
PN178,,GluR1,S849,,Glutamate receptor 1,P42261,NP_000818.2
PN179,,HDAC4/5/9,S246/259/220,,Histone deacetylase 4,P56524,NP_006028.2
PN179-PN180-PN181,,HDAC4,S246,,Histone deacetylase 4,P56524,NP_006028.2
PN182,,MyoD,S200,,Myoblast determination protein 1,P15172,NP_002469.2
PN183,,Smad1,S465,,Mothers against decapentaplegic homolog 1,Q15797,NP_005891
PN184,,Smad2,S467,,Mothers against decapentaplegic homolog 2,Q15796,NP_005891
PN185,,Smad2,T200,,Mothers against decapentaplegic homolog 2,Q15796,NP_005891
PN186,,Myc,S373,,Myc proto-oncogene protein,P01106,NP_002458.2
PN187,,NBN (p95NBS1),S343,,Nibrin,O60934,NP_001019859.1
PN188,,HDAC5,S498,,Histone deacetylase 5,Q9UQL6,NP_001015053.1
PN189,,APP,T668,,Amyloid beta A4 protein,P05067,NP_000475.1
PN190,,CLNB1,S147,,Cyclin B1,P14635,NP_114172
PN191,,CLNE,T395,,Cyclin E,P24864,NP_001229
PN192,,Gab1,Y627,,GRB2-associated binder 1,Q13480,NP_002030.2
PN193,,eIF4G,S1232,,Eukaryotic translation initiation factor 4 gamma 1,Q04637,NP_004944 
PN194,,FKHR,S256,,Forkhead box protein O1,Q12778,NP_002006.2
PN195,,FKHR,S319,,Forkhead box protein O1,Q12778,NP_002006.2
PN196,,GATA1,S142,,Erythroid transcription factor,P15976,NP_002040.1
PN197,,SNCA,S129,,Alpha-synuclein,P37840,NP_000336.1
PN198,,ER-alpha,S104,,estrogen receptor alpha,P03372,NP_000116.2
PN199,,Myc,T58,,Myc proto-oncogene protein,P01106,NP_002458.2
PN202,,ACC1 (ACACA),S78+S80,,Acetyl-CoA carboxylase 1,Q13085,NP_000655
PN203,,AR,S310,,Androgen receptor,P10275,NP_000029.2
PN204,,ATF2 (CRE-BP1),T71,,Cyclic AMP-dependent transcription factor ATF-2,P15336,NP_001871
PN206,,B-Myb (MYBL2),T487,,Myb-related protein B,P10244,NP_001265539.1
PN207,,Bad,S75,,Bcl2 antagonist of cell death,Q92934,NP_004313.1
PN208,,Bad,S99,,Bcl2 antagonist of cell death,Q92934,NP_004313.1
PN212,,BRCA1,S988,,Breast cancer type 1 susceptibility protein,P38398,NP_009225.1
PN213,,Jun (c-Jun),S63,,Transcription factor AP-1,P05412,NP_002219
PN214,,Jun (c-Jun),T91+T93,,Jun proto-oncogene-encoded AP1 transcription factor,P05412,NP_002219
PN215,,Myc,T58+S62,,Myc proto-oncogene protein,P01106,NP_002458.2
PN216,,C3G (RapGEF1),Y504,,Rap guanine nucleotide exchange factor 1,Q13905,NP_001291204.1
PN217,,Caveolin 1,Y14,,Caveolin 1,Q03135,NP_001744.2
PN218,,Cbl,Y700,,E3 ubiquitin-protein ligase CBL,P22681,NP_005179.2
PN220,,CFL1,S3,,Cofilin 1,P23528,NP_005498
PN221,,CPS2 (CAD),T456,,Carbamoyl phosphate synthetase 2,P27708,NP_001293008.1
PN222,,Dynamin I,S795,,Dynamin-1,Q05193,NP_001005336.1
PN223,,Elk-1,S383,,ETS domain-containing protein Elk-1,P19419,NP_001107595.1
PN224,,EZR,Y146,,Ezrin; Cytovilin,P15311,NP_001104547.1
PN225,,GATA4,S262,,Transcription factor GATA-4,P43694,NP_001295022.1
PN226,,GOLGA2 (GM130),S25,,Golgin subfamily A member 2,Q08379,NP_004477.3
PN227,,IL6ST (GP130),S782,,Interleukin-6 receptor subunit beta,P40189,NP_001177910.1
PN228,,H3F3A,S28,,Histone H3,P84243,NP_003521
PN229,,hnRNP-K,S302,,Heterogeneous nuclear ribonucleoprotein K,P61978,NP_001305115.1
PN230,,HSP27 (HSP28; HSPB1),S82,,Heat shock 27 kDa protein beta 1,P04792,NP_001531
PN231,,ITGB3,Y785,,Integrin beta-3,P05106,NP_000203.2
PN232,,IkBa,S32,,Inhibitor of NF-kappa-B alpha (MAD3),P25963,NP_065390
PN233,,KCND2 (KV4.2),T602,,Potassium voltage-gated channel subfamily D member 2,Q9NZV8,NP_036413.1
PN234,,KCND2 (KV4.2),T607,,Potassium voltage-gated channel subfamily D member 2,Q9NZV8,NP_036413.1
PN235,,MBP,T232,,Myelin basic protein,P02686,NP_001020272.1
PN236,,MEF2A,S387,,Myocyte-specific enhancer factor 2A,Q02078,XP_011519883.1
PN237,,NES,T315,,Nestin,P48681,NP_006608.1
PN238,,NFAT4 (NFATc3),S169,,"Nuclear factor of activated T-cells, cytoplasmic 3",Q12968,NP_775188.1
PN239,,NFAT4 (NFATc3),S240,,"Nuclear factor of activated T-cells, cytoplasmic 3",Q12968,NP_775188.1
PN240,,NFAT3 (NFATc4),S168+S170,,"Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4",Q14934,NP_004545.2
PN241,,NFKB1 (NFkB-p105),S932,,Nuclear factor NF-kappa-B p105 subunit,P19838,NP_001158884.1
PN242,,NFkB p50,S337,,Nuclear factor NF-kappa-B p105 subunit,P19838,NP_001158884.1
PN243,,NFKB p65 (Rel A),S311,,NF-kappa-B p65 nuclear transcription factor,Q04206,NP_003989
PN245,,NFKB p65 (Rel A),S536,,NF-kappa-B p65 nuclear transcription factor,Q04206,NP_003989
PN247,,NOS3,T495,,"Nitric oxide synthase, endothelial",P29474,NP_000594.2
PN248,,Cip (WAF1; p21) p21(WAF1/CIP1),S146,,Cyclin-dependent kinase inhibitor 1,P38936,NP_000380.1
PN249,,Cip (WAF1; p21) p21(WAF1/CIP1),T145,,Cyclin-dependent kinase inhibitor 1,P38936,NP_000380.1
PN250,,p38a MAPK (MAPK14),Y182,,Mitogen-activated protein-serine kinase p38 alpha; Mitogen-activated protein kinase 14,Q16539,NP_001306
PN251,,p40-phox,T154,,Neutrophil cytosol factor 4,Q15080,NP_000622.2
PN252,,p53 (TP53),S392,,Cellular tumor antigen p53,P04637,NP_000537.3
PN253,,p53 (TP53),S315,,Cellular tumor antigen p53,P04637,NP_000537.3
PN254,,p53 (TP53),S46,,Cellular tumor antigen p53,P04637,NP_000537.3
PN255,,p53 (TP53),T155,,Cellular tumor antigen p53,P04637,NP_000537.3
PN256,,p53 (TP53),T55,,Cellular tumor antigen p53,P04637,NP_000537.3
PN257,,PXN,Y118,,Paxillin 1,P49023,NP_002850
PN258,,PFKFB2 (PFK2),S483,,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",O60825,NP_006203.2
PN259,,PRKAR2A (PKA2RA),S99,,cAMP-dependent protein kinase type II-alpha regulatory subunit,P13861,NP_004148.1
PN260,,PRC1,T481,,Protein regulator of cytokinesis 1,O43663,NP_001254509.1
PN261,,Rb,S249+T252,,Retinoblastoma-associated protein 1,P06400,NP_000312
PN262,,Rb,S608,,Retinoblastoma-associated protein 1,P06400,NP_000312
PN263,,Rb,S795,,Retinoblastoma-associated protein 1,P06400,NP_000312
PN264,,Rb,T356,,Retinoblastoma-associated protein 1,P06400,NP_000312
PN265,,Rb,T821+T826,,Retinoblastoma-associated protein 1,P06400,NP_000312
PN267,,PEBP1,S153,,Phosphatidylethanolamine-binding protein 1,P30086,NP_002558.1
PN268,,RPS6,S236,,40S Ribosomal S6,P62753,NP_001001
PN270,,SMC1A,S957,,Structural maintenance of chromosomes protein 1A,Q14683,NP_006297.2
PN272,,STAT3,S727,,Signal transducer and activator of transcription 3,P40763,NP_003141
PN273,,STAT3,Y705,,Signal transducer and activator of transcription 3,P40763,NP_003141
PN274,,STAT4,S721,,Signal transducer and activator of transcription 4,Q14765,NP_003142.1
PN275,,Tau,S396,,Microtubule-associated protein tau,P10636,NP_005901
PN276,,VASP,S157,,Vasodilator-stimulated phosphoprotein,P50552,NP_003361.1
PN277,,Vav,Y174,,Vav 1 guanine nucleotide exchange factor,P15498,NP_005419.2
PN278,,CTNNB1,S33+S37,,Catenin (cadherin-associated protein) beta 1,P35222,NP_001895
PN500,,ACTB,Y294,,"Actin, cytoplasmic 1; Beta-actin",P60709,NP_001092.1
PN501,,ACTB,Y53,,"Actin, cytoplasmic 1; Beta-actin",P60709,NP_001092.1
PN502,,ACTN1,Y246,,,P12814,
PN503,,ANXA1,Y207,,,P04083,
PN504,,ANXA2,Y238,,,P07355,
PN505,,Cas-L,Y166,,Enhancer of filamentation 1,Q14511,NP_006394.1
PN506,,Cofilin-1,Y140,,,P23528,
PN507,,CrkL,Y251,,,P46109,
PN508,,Dok3,Y398,,,Q7L591,
PN509,,EEF1A1,Y141,,,P68104,
PN510,,EML4,Y226,,,Q9HC35,
PN511,,ENO1,Y44,,Alpha-enolase,P06733,NP_001419.1
PN512,,ENO2,Y25,,Gamma-enolase,P09104,NP_001966.1
PN513,,ERBB2IP (Erbin),Y1104,,,Q96RT1,
PN514,,ESYT1,Y822,,Extended synaptotagmin-1,Q9BSJ8,NP_056107.1
PN515,,G6PD,Y401,,,P11413,
PN516,,Gab1,Y406,,,Q13480,
PN517,,GIT1,Y545,,,Q9Y2X7,
PN518,,HCA59,Y147,,,Q9NZ63,
PN519,,HGS (Hrs),Y216,,,O14964,
PN520,,HSP90AB1 (HSP90; HSP84; HSP90B; HSPC2; HSPCB),Y484,,,P07900,
PN521,,ITSN2,Y968,,,Q9NZM3,
PN522,,PDLIM5 (LIM),Y251,,PDZ and LIM domain protein 5,Q96HC4,NP_001011515.1
PN523,,PECAM-1,Y713,,Platelet endothelial cell adhesion molecule,P16284,NP_000433.4
PN524,,PFN1,Y129,,Profilin 1,P07737,NP_005013.1
PN525,,PGK1,Y196,,,P00558,
PN526,,PIK3R1,Y467,,Phosphatidylinositol 3-kinase regulatory subunit alpha,P27986,NP_852664
PN527,,PIK3R1,Y580,,Phosphatidylinositol 3-kinase regulatory subunit alpha,P27986,NP_852664
PN528,,PIK3R2,Y464,,,O00459,
PN529,,PKM2,Y390,,,P14618,
PN530,,PLCG1,Y783,,,P19174,
PN531,,PLCG2,Y759,,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",P16885,NP_002652.2
PN532,,PPP1R11 (HCG V),Y64,,,O60927,
PN533,,PTRF,Y308,,,Q6NZI2,
PN534,,SHIP2 (INPPL1),Y886,,,O15357,
PN535,,SIT,Y90,,,Q9Y3P8,
PN536,,SIT,Y95,,,Q9Y3P8,
PN537,,snRNP 70,Y126,,U1 small nuclear ribonucleoprotein 70 kDa,P08621,NP_003080.2
PN538,,STAM2,Y374,,,O75886,
PN539,,STAT3,Y705+T708,,,P40763,
PN540,,TBC1D7,Y14,,TBC1 domain family member 7,Q9P0N9,NP_001137436.1
PN541,,TGM2,Y369,,,P21980,
PN542,,TLN1,Y70,,,Q9Y490,
PN543,,Vav,Y826,,Vav 1 guanine nucleotide exchange factor,P15498,NP_005419.2
PN544,,VIM,Y117,,Vimentin,P08670,NP_003371
PN545,,WASP,Y291,,,P42768,
PN546,,PCYT1B (CCTB),S315+S319,,,Q9Y5K3,
PN547,,PCYT1A (CTPCT; CCTA),T342+S343,,,P49585,
PN548,,PCYT1A (CTPCT; CCTA),Y359+S362,,,P49585,
PN549,,PRMT5,T634,,,O14744,
PN550,,4E-BP1 (PHAS1),T37+T46,,,Q13541,
PN551,,ANXA1,Y207,,,P04083,
PN552,,ATF2,T69+T71,,,P15336,
PN553,,CREB1,S133,,,P16220,
PN554,,EEF1A1,T158+S162,,,P68104,
PN555,,EEF2,T57,,,P13639,
PN557,,Jun (c-Jun),S63,,,P05412,
PN558,,MBP,T232,,,P02686,
PN559,,RPS6,S235+S236+S240,,,P62753,
PN560,,SHIP1 (INPP5D),Y187,,,Q92835,
PN561,,PCYT1A (CTPCT; CCTA),S329+S331,,,P49585,
PN566,,SPRED1,S105,,,Q7Z699,
PN568,,AML1 (RUNX1),T273,,,Q01196,
PN569,,AML2 (RUNX3),T231,,,Q13761,
PN570,,AR,S96,,,P10275,
PN571,,AR,S310,,,P10275,
PN572,,ATF2 (CRE-BP1),T69+T71,,,P15336,
PN573,,B-Myb (MYBL2),T487,,Myb-related protein B,P10244,NP_001265539.1
PN574,,BCLAF1,S512,,,Q9NYF8,
PN575,,C-EBPa,T226+T230,,,P49715,
PN576,,CDC5L,T385,,Cell division cycle 5-like protein,Q99459,NP_001244.1
PN577,,CREB1,S129+S133,,,P16220,
PN578,,CTNNB1,S33+S37+T41+S45,,Catenin (cadherin-associated protein) beta 1,P35222,NP_001091679.1
PN579,,CTNNB1,Y654,,Catenin (cadherin-associated protein) beta 1,P35222,NP_001091679.1
PN580,,CUX1 (CUTL1),S1270,,,P39880,
PN581,,Elk-1,S324,,ETS domain-containing protein Elk-1,P19419,NP_001107595.1
PN583,,ERa (ESR1; ER-alpha),S167,,,P03372,
PN584,,ERF,T526,,,P50548,
PN585,,ESRRA (ERR1),S19+S22,,Steroid hormone receptor ERR1,P11474,NP_001269379.1
PN586,,Ets-1,S282,,Protein C-ets-1,P14921,NP_001137292.1
PN587,,ETV6 (Tel),S22,,Transcription factor ETV6,P41212,NP_001978.1
PN588,,Fos,T232,,,P01100,
PN589,,Fos,S362+S363,,,P01100,
PN590,,FOXK1,S441+S445,,,P85037,
PN591,,FOXK2,S424+S428,,,Q01167,
PN592,,FOXM1,T611,,,Q08050,
PN593,,FOXO1A (FKHR; FKHRL1),S256,,,Q12778,
PN594,,FOXO1A (FKHR; FKHRL1),Pan-specific,,,Q12778,
PN595,,FOXO1A (FKHR; FKHRL1),S329,,,Q12778,
PN596,,FOXO3 (FKHRL1),T32,,,O43524,
PN597,,FOXO3 (FKHRL1),S294,,,O43524,
PN599,,FRA1,S265,,,P15407,
PN600,,GATAD2B,T120+S122,,,Q8WXI9,
PN601,,GR,S226,,Glucocorticoid receptor,P04150,NP_000167.1
PN602,,GTF2I,S412,,General transcription factor II-I,P78347,NP_001157108.1
PN603,,HBS1L,Y56+Y58,,,Q9Y450,
PN604,,HCFC1,S1507,,,P51610,
PN605,,HMGA1,S36+T39,,High mobility group protein HMG-I/HMG-Y,P17096,NP_001306007.1
PN606,,HMGA1,T53,,High mobility group protein HMG-I/HMG-Y,P17096,NP_001306007.1
PN607,,HMGB1,S35+S39,,High mobility group protein B1,P09429,NP_001300821.1
PN608,,HNF4A,S167,,Hepatocyte nuclear factor 4-alpha,P41235,NP_000448.3
PN609,,HSF1,S303+S307,,,Q00613,
PN610,,IRF3,T135,,,Q14653,
PN611,,IWS1,S720+T721+T725,,,Q96ST2,
PN612,,Jun (c-Jun),S73,,,P05412,
PN613,,Jun (c-Jun),T239,,,P05412,
PN614,,Jun (c-Jun),S243,,,P05412,
PN615,,LEDGF,S273+S275,,,O75475,
PN616,,LEF1,Pan-specific,,,Q9UJU2,
PN617,,MAFG,Pan-specific,,,O15525,
PN618,,MCM2,S40+S41,,,P49736,
PN620,,MCM2,Y137+S139,,,P49736,
PN622,,MEF2A,T108,,,Q02078,
PN623,,MEF2C,S396,,Myocyte-specific enhancer factor 2C,Q06413,NP_001180279.1
PN624,,MEF2D,S121,,Myocyte-specific enhancer factor 2D,Q14814,NP_005911.1
PN625,,MEF2D,S180,,Myocyte-specific enhancer factor 2D,Q14814,NP_005911.1
PN626,,MITF,S414,,Microphthalmia-associated transcription factor,O75030,NP_937802.1
PN627,,Myb,S532,,Transcriptional activator Myb,P10242,NP_005366.2
PN628,,Myc,T58+S62,,Myc proto-oncogene protein,P01106,NP_002458.2
PN629,,NCOA3 (SRC-3),S867,,,Q9Y6Q9,
PN630,,NFAT1,S217+S221,,,Q13469,
PN631,,NFAT3 (NFATc4),S213+S217,,,Q14934,
PN632,,NFAT5,T135,,Nuclear factor of activated T-cells 5,O94916,NP_006590.1
PN633,,NFkB-p100,S866,,,Q00653,
PN634,,NFKB1,S903,,,P19838,
PN635,,NOLC1,T607+T610,,Nucleolar and coiled-body phosphoprotein 1,Q14978,NP_004732.2
PN636,,Nur77,Pan-specific,,,P22736,
PN637,,p53 (TP53),S6+S9,,Cellular tumor antigen p53,P04637,NP_000537.3
PN638,,p53 (TP53),T18+S20,,Cellular tumor antigen p53,P04637,NP_000537.3
PN640,,p53 (TP53),S392,,Cellular tumor antigen p53,P04637,NP_000537.3
PN641,,PML,S518,,Probable transcription factor PML,P29590,NP_150241.2
PN643,,POU2F1,S385,,"POU domain, class 2, transcription factor 1",P14859,XP_011507956.1
PN644,,PPARg-1,S112,,,P37231,
PN646,,PTRF,Y308,,,Q6NZI2,
PN647,,PU.1,S146,,,P17947,
PN648,,RARA,S77,,Retinoic acid receptor alpha,P10276,NP_000955.1
PN649,,RBM9 iso6,T7,,RNA-binding protein 9,O43251,NP_001076047.1
PN650,,RDBP,S89+T91,,,P18615,
PN651,,RORA,S35,,Nuclear receptor ROR-alpha,P35398,NP_599022.1
PN652,,RXRa,S260,,,P19793,
PN653,,SATB1,S38,,DNA-binding protein SATB1,Q01826,NP_001124482.1
PN654,,SH2BP1,T925,,,Q6PD62,
PN655,,SIN3A,Pan-specific,,,Q96ST3,
PN658,,Smad3,Pan-specific,,,P84022,
PN661,,SND1,Y908,,,Q7KZF4,
PN662,,SOX9,Pan-specific,,,P48436,
PN663,,SPT5,T791,,,O00267,
PN664,,SRF,S224,,,P11831,
PN665,,SSRP1,Y441+S444,,,Q08945,
PN666,,STAT1,Y701,,,P42224,
PN667,,STAT1,Pan-specific,,,P42224,
PN668,,STAT2,Y690,,,P52630,
PN669,,STAT3,S727,,,P40763,
PN670,,STAT4,Y693,,,Q14765,
PN671,,STAT5A,Y694,,,P42229,
PN672,,STAT5A,S780,,,P42229,
PN673,,STAT6,Y641,,,P42226,
PN674,,TARDBP,S409+S410,,,Q13148,
PN675,,TERF1,T371,,,P54274,
PN676,,THRAP3,S253,,,Q9Y2W1,
PN677,,TORC2,S433,,CREB-regulated transcription coactivator 2,Q53ET0,NP_859066.1
PN678,,TP53BP1,T1056,,Tumor suppressor p53-binding protein 1,Q12888,NP_005648.1
PN679,,UBF,S484,,Nucleolar transcription factor 1,P17480,NP_055048.1
PN680,,UBF,T201,,Nucleolar transcription factor 1,P17480,NP_055048.1
PN681,,YAP1,S109,,,P46937,
PN682,,YAP1,T119,,,P46937,
PN683,,YAP1,S127,,,P46937,
PN684,,YLPM1,S561,,,P49750,
PN685,,RPS6,S235+S236,,,P62753,
PN686,,ACLY,Y682,,,P53396,
PN687,,ACP1,Y132+Y133,,,P24666,
PN688,,ACS1 (ACSL1),Y567,,,P33121,
PN689,,ADK,S86,,,P55263,
PN690,,BRCA1,T509,,,P38398,
PN691,,CAD,S1859,,,P27708,
PN693,,CDKN2A (p14ARF; p19ARF),Pan-specific,,,Q8N726,
PN694,,CDKN2A (p16; p16-INK4a),Pan-specific,,,Q8N726,
PN695,,COX2,Y446,,,P35354,
PN696,,DCK,Pan-specific,,,P27707,
PN697,,EZH2,T487,,Histone-lysine N-methyltransferase EZH2,Q15910,NP_001190176.1
PN698,,FASN (FAS),S207,,Fatty acid synthase,P49327,NP_004095.4
PN699,,FBPase (FBP1),Y265,,"Fructose-1,6-bisphosphatase isoform 1",P09467,NP_000498.2
PN700,,FBPase 2 (FBP2),Y216,,"Fructose-1,6-bisphosphatase isoform 2",O00757,NP_003828.2
PN701,,G6PD,Y503+Y507,,,P11413,
PN702,,GATA3,S369,,,P23771,
PN703,,GYS1,S641+S645,,"Glycogen [starch] synthase, muscle",P13807,NP_001155059.1
PN704,,GYS2,Y45,,"Glycogen [starch] synthase, liver",P54840,NP_068776.2
PN705,,HMGCR,S872,,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035,NP_000850.1
PN706,,IDH1,T75+T77,,,O75874,
PN707,,IKZF1,Y413,,DNA-binding protein IKZF1 (Ikaros),Q13422,NP_006051.1
PN708,,MSH6,S14,,,P52701,
PN709,,NF2,S518,,,P35240,
PN710,,NMDAR2A (GRIN2A),Y943,,Glutamate [NMDA] receptor subunit epsilon-1,Q12879,NP_000824.1
PN711,,NOS2,S745,,"Nitric oxide synthase, inducible",P35228,NP_000616.3
PN712,,NOS3,T1175+S1177,,"Nitric oxide synthase, endothelial",P29474,NP_000594.2
PN713,,PAH,S16,,,P00439,
PN714,,PBRM1,S948,,,Q86U86,
PN715,,PFKFB3,S461,,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",Q16875,NP_004557.1
PN716,,PFKP,S386,,,Q01813,
PN717,,PKM2,Y148,,,P14618,
PN718,,PKM2,S37,,,P14618,
PN719,,PLCB3,S1105,,,Q01970,
PN720,,PLCD1,S460,,,P51178,
PN721,,PLCE1,S1096+T1100,,,Q9P212,
PN722,,PLCG1,Y977,,,P19174,
PN723,,PLCG2,Y753,,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma-2",P16885,NP_002652.2
PN724,,Rb (RB1),S249+T252,,,P06400,
PN725,,Smad4,Y513,,,Q13485,
PN726,,SMARCA4,S610+S613,,,P51532,
PN727,,SMARCB1,T134,,,Q12824,
PN728,,SOCS7,Y561,,,O14512,
PN729,,STAG2,Y433,,,Q8N3U4,
PN730,,TH (TY3H),S71,,,P07101,
PN731,,TH (TY3H),S19,,,P07101,
PN732,,WT1,S365,,,P19544,
PN733,,ACACA (ACC1; ACCA),S29,,,Q13085,
PN734,,ACACB (ACC2),T1342,,,O00763,
PN735,,ACLY,S455,,,P53396,
PN736,,ACO1,Pan-specific,,,P21399,
PN737,,ACO1,S806,,,P21399,
PN738,,ALOX5 (5-LO),S272,,,P09917,
PN739,,APC,S2129,,,P25054,
PN740,,ARID1A,S363,,,O14497,
PN741,,ASS1,T174+S180,,,P00966,
PN742,,ATASE (PPAT),T356,,,Q06203,
PN743,,Cbl,Y674,,,P22681,
PN744,,CBS,Pan-specific,,,P35520,
PN745,,CTNNB1,Y489,,Catenin (cadherin-associated protein) beta 1,P35222,NP_001091679.1
PN746,,DNMT3A,S105,,,Q9Y6K1,
PN747,,DPYD,S766+T768,,,Q12882,
PN748,,EP300 (p300),S2279,,,Q09472,
PN749,,FASN (FAS),Y45,,Fatty acid synthase,P49327,NP_004095.4
PN750,,FBPase (FBP1),S88,,"Fructose-1,6-bisphosphatase isoform 1",P09467,NP_000498.2
PN751,,FBPase 2 (FBP2),Y259,,"Fructose-1,6-bisphosphatase isoform 2",O00757,NP_003828.2
PN752,,GCLC,S5+S8,,Glutamate--cysteine ligase catalytic subunit,P48506,NP_001184044.1
PN753,,GPAT3 (LPAAT-THETA),S68,,,Q53EU6,
PN754,,HMGCS1,S495,,HMG-CoA synthase 1,Q01581,NP_001091742.1
PN755,,HRAS,Y157,,GTPase HRas,P01112,NP_001123914.1
PN756,,HSPC121,S114,,,Q9P035,
PN757,,IDH1,Y391,,,O75874,
